Dyad,Round,Player,previous_absent_round,DLIndex,Similarity,Consistency,Joint,Size_visited
151-962,55,151-962PL2,54,0.5,0.390625,0.3055555555555556,19,25
151-962,57,151-962PL1,55,0.5,0.703125,0.5,23,45
151-962,57,151-962PL2,55,0.5,0.515625,0.2608695652173913,23,33
152-727,1,152-727PL1,,0.953125,1.0,,3,64
152-727,1,152-727PL2,,0.953125,0.06060606060606061,,3,3
152-727,3,152-727PL1,1,0.984375,1.0,1.0,1,64
152-727,3,152-727PL2,1,0.984375,0.03125,0.0,1,1
152-727,12,152-727PL1,3,0.109375,0.1875,0.09375,0,6
152-727,12,152-727PL2,3,0.109375,0.03125,0.0,0,1
152-727,14,152-727PL1,12,0.296875,0.625,0.18181818181818182,1,20
152-727,14,152-727PL2,12,0.296875,0.03125,1.0,1,1
152-727,17,152-727PL1,14,0.265625,0.53125,0.27586206896551724,1,17
152-727,17,152-727PL2,14,0.265625,0.0625,0.0,1,2
152-727,18,152-727PL1,17,0.984375,1.0,0.265625,1,64
152-727,18,152-727PL2,17,0.984375,0.03125,0.0,1,1
152-727,21,152-727PL1,18,0.984375,1.0,1.0,1,64
152-727,21,152-727PL2,18,0.984375,0.03125,0.0,1,1
152-727,22,152-727PL1,21,0.984375,1.0,1.0,1,64
152-727,22,152-727PL2,21,0.984375,0.03125,1.0,1,1
152-727,24,152-727PL1,22,0.65625,0.4594594594594595,0.34375,22,22
152-727,24,152-727PL2,22,0.65625,1.0,0.015625,22,64
152-727,26,152-727PL1,24,0.75,0.07142857142857142,0.0,1,2
152-727,26,152-727PL2,24,0.75,0.75,0.75,1,48
152-727,28,152-727PL1,26,0.984375,1.0,0.03125,1,64
152-727,28,152-727PL2,26,0.984375,0.03125,0.0,1,1
152-727,29,152-727PL1,28,0.078125,0.15625,0.078125,0,5
152-727,29,152-727PL2,28,0.078125,1.0,0.0,0,0
152-727,30,152-727PL1,29,0.96875,1.0,0.078125,2,64
152-727,30,152-727PL2,29,0.96875,0.0625,0.0,2,2
152-727,32,152-727PL1,30,0.1875,0.8125,0.8125,52,52
152-727,32,152-727PL2,30,0.1875,1.0,0.03125,52,64
152-727,33,152-727PL1,32,0.9375,0.14285714285714285,0.07692307692307693,4,4
152-727,33,152-727PL2,32,0.9375,1.0,1.0,4,64
152-727,34,152-727PL1,33,0.875,0.2857142857142857,0.3333333333333333,8,8
